FGTID,Name,Procedure Examples,Mitigations,Pre-Conditions,Critical Assets,Detection,Post-Conditions,References
FGT5007,Registration_of_malicious_network_functions,Y,Y,N,Y,Y,N,Y
T1608.501,Configurability_of_Fake_Base_Station_or_Access_Point,Y,N,N,N,Y,N,Y
FGT5009.001,Radio_Interface,Y,Y,Y,Y,Y,Y,Y
T1599.501,Malicious_co-tenancy__exploit_of_NFVI_(Network_Slice),Y,Y,N,Y,Y,N,Y
FGT5009,Weaken_Integrity,Y,Y,Y,Y,Y,Y,Y
FGT5001,Network-side_SMS_collection,Y,Y,Y,Y,N,N,Y
T1599.503,Network_Slice_Application_Resource_Hijacking,N,Y,N,Y,Y,N,Y
FGT5019.003,Obtain_subscriber_identifier_by_NF,Y,Y,Y,Y,Y,Y,Y
FGT5010,Fraudulent_AMF_registration_for_UE_in_UDM,Y,Y,Y,Y,N,Y,Y
T1588,IMSI_Catcher,N,Y,N,N,N,N,Y
FGT5019.001,Intercept_Home_Network_via_SUCI,Y,Y,Y,Y,N,Y,Y
FGT5018.003,Edge_Servers,Y,Y,Y,Y,Y,Y,Y
FGT5019.002,Intercept_Bid-Down_IMSI,Y,Y,Y,Y,Y,Y,Y
FGT5021,Tunnel_ID_uniqueness_failure,Y,Y,Y,Y,Y,Y,Y
T1021,VNF_Access_Services,N,Y,N,Y,Y,N,Y
T1599,Network_Boundary_Bridging,N,Y,Y,Y,Y,Y,Y
T1040.501,Radio_Interface,Y,Y,Y,Y,Y,Y,Y
FGT5006,DNS_Manipulation,N,Y,Y,Y,Y,N,Y
FGT5011,Unauthorized_access_to_NEF_via_token_fraud,Y,Y,Y,Y,Y,Y,Y
FGT5003,Network_Function_Service_Discovery,Y,Y,Y,Y,Y,Y,Y
T1499.002,Base_station_flood_with_fictitious_access_requests,Y,Y,Y,Y,Y,Y,Y
FGT5017,Call_Detail_Record_(CDR)_collection,Y,Y,Y,Y,Y,Y,Y
T1611.501,Malicious_privileged_container_VNF_Shared_Resource_Accesss,Y,Y,N,Y,Y,N,Y
FGT5018,Vandalism_of_network_infrastructure,Y,Y,Y,Y,Y,Y,Y
T1499.502,Trigger_Fraud_Alert_to_Deny_Service,Y,Y,Y,Y,Y,Y,N
T1464,UE_or_gNB_Jamming,Y,Y,N,Y,Y,N,Y
T1600.502,Network_interfaces,Y,Y,Y,Y,Y,Y,Y
T1599.502,Network_Slice_infrastructure__resource_hijacking,Y,Y,N,Y,Y,N,Y
FGT5005,Memory_Scrapping,N,Y,Y,Y,Y,N,Y
T1583.501,Fake_Cellular_Base_Station_or_Access_Point,N,Y,N,N,Y,N,Y
T1190,Exploit_Public-Facing_Network_Function,Y,Y,Y,Y,N,N,Y
T1562.501,Bid_down_UE,Y,Y,Y,Y,Y,N,Y
FGT5002,Bypass_home_routing,Y,Y,Y,Y,Y,N,Y
T1557.501,Radio_Interface,Y,N,Y,Y,Y,Y,Y
FGT5032.001,Radio_Intelligent_Controller_(RIC),N,N,N,Y,N,N,Y
T1592.501,Internal_resource_search,Y,Y,Y,Y,Y,Y,Y
FGT5012.002,Self_Location_Measurement,Y,Y,Y,Y,Y,Y,Y
T1437,Control_plane_signaling_disguise_for_C2,Y,Y,N,Y,N,N,Y
FGT5028,Discover_network_slice_identifier,Y,Y,Y,Y,Y,Y,Y
FGT5023,Charging_fraud_via_NF_control,Y,Y,N,Y,Y,N,Y
FGT5027,Spoof_network_slice_identifier,Y,Y,Y,Y,Y,N,Y
