T1195.501,SIM credential theft,Implant malware or physical access,Adversary needs to either implant malware in SIM vendor’s server or have physical access to the SIM card inventory.
FGT5012.001,Passive radio signals observation,Line-of-sight,Attacker must have radio line-of-sight to target for most accurate geolocation.
T1555.501,Hardware Security Module Key Signing,Obtain service account credentials,Adversary acquires credentials with legitimate privileges to conduct operations using the HSM. Adversary has a position to initiate transactions with the HSM.
FGT5009.002,Network Interfaces,Rogue or misconfigured AMF or SMF or gNB or UPF or SEPP or MME or any other core NF,Adversary must have access to the network components to cause the attacks
FGT5012.005,Shared network function in slice,Access shared NF in a different slice,"Two slices share one common NF that is able to get UE location info. Adversary has control of one slice or at least a NF in that slice -- where said NF is allowed to talk to the AMF.

The following core NFs can legitimately ask for or obtain directly the location of a UE (some granularity): AMF, UDM, NEF, NWDAF, GMLC, LMF. The following core NFs can only get limited/coarse location: SMF, UPF, PCF."
T1599.504,Manipulate Virtual Network Function (VNF) Configuration,Credential and Access,Privileged Access to VNF or VNF managers via direct login or thru Control Plane APIs
FGT5018.004,Theft of assets,Improper security monitoring of remote/shared facilities,"Remote/shared sites have to be integrated in the network-wide Security Incident and Monitoring System, but with additional considerations: development of use-case specific alert rules, integration and correlation of data at all levels (network, application), integration and correlation with service provider -level monitoring mechanisms. Failure to do so may leave advanced or sustained threats undetected, as well as technical failures or malfunctions of local resources."
FGT5018.001,Cabling and junction boxes,Unprotected cables,"Fibers routed between pieces of equipment without proper protection are susceptible to damage, which can critically affect network reliability. The fiber cable management system should therefore ensure that every fiber is protected from physical damage."
FGT5018.001,Cabling and junction boxes, Unprotected junction boxes,"Lack of protection of junction boxes / splice closures. Improper cable routing also causes increased congestion in the termination panel and the cableways, increasing the possibility of bend radius violations and long-term failure."
FGT5008,Redirection of traffic via user plane network function,Acquire UPF IP address/control,An adversary must have control of the UPF IP address or a UPF
FGT5008,Redirection of traffic via user plane network function,Control SMF/NEF/AF,"An adversary must first control the SMF or NEF, or AF"
FGT5029,Exploit Semi-public Facing Application,Vulnerability Identified,Adversary must have identified a vulnerability susceptible to the specially crafted message that results in an ability to use additional techniques.
T1199.501,MNO Roaming Partners,Compromised partner,"An adversary must already have compromised a trusted PLMN or one of their service providers, e.g. IPX, VAS, etc."
T1199.501,MNO Roaming Partners,Compromised credentials,An adversary may need compromised legitimate credentials that could be used to obtain information from the MNO.
T1199.501,MNO Roaming Partners,Identified vulnerability,An adversary may need to identify a vulnerability in an MNO network function to send specially crafted requests to obtain initial access.
T1565.002,Network Interfaces,Weakened or disabled integrity protection,See technique Weaken Integrity: Network Interfaces
FGT5006.003,DNS Poisoning,Unauthenticated DNS Services,The end user must not have the capability to validate whether it is communicating with a malicious DNS or a valid one.
FGT5006.001,_Layer_2_Redirection_of_Encrypted_DNS,Unauthenticated DNS Services,The end user must not have the capability to validate whether it is communicating with a malicious DNS or a valid one.
FGT5004,Network Flow Manipulation,Credential and Access to SDN Controller and network elements,Privileged Access to SDN controller and Network elements
FGT5019.002,Intercept Bid-Down SUPI,Permissive user security profile,User security profile must allow bidding down.
FGT5019.002,Intercept Bid-Down SUPI,Bid down operation successful,Denying service to 5G and bidding down (e.g. from a fake or compromised base station) must have occurred for this 5G UE. Adversary must be present in the same area as the UE.
FGT5009.001,Radio Interface,Rogue or misconfigured AMF or SMF or gNB or MME,"A rogue gNB may be required to change the UE’s CP & UP supported algorithms to NULL. It’s easier to achieve control over a gNB than over the AMF or SMF itself. But then if the AMF and SMF are not rogue just not configured to do these additional checks, then control over a rogue gNB is sufficient.
This attack is possible with only control over the AMF, in which case the algorithm for CP and UP protection may be changed to NULL."
FGT5017,Charging Data Record (CDR) collection,SMSC is compromised,Rogue or misconfigured SMSC
FGT5009,Weaken Integrity,Adversary controlling end point,Adversary gets hold of an end point such as gNB to manipulate signaling
FGT5001,Network-side SMS collection,Malware developed,Adversary must first develop the malware to achieve the procedures herein.
FGT5019.003,Obtain subscriber identifier by NF,UE phone number and control of AF/NF,Adversary has knowledge of UE phone number/GPSI and has control over an AF or NEF or AMF.
FGT5010,Fraudulent AMF registration for UE in UDM,Faulty UDM implementation,"If the UDM does not store the authentication status of a UE, or the authentication status is incorrect"
FGT5019.001,Intercept Home Network via SUCI,Ability to receive SUCI over the air,Attacker requires sufficient signal to noise and interference ratio
FGT5018.003,Edge Servers,Improper security monitoring of edge computing facilities,"Mobile-edge computing have to be integrated in the network-wide Security Incident and Monitoring System, but with additional considerations: development of use-case specific alert rules, integration and correlation of data at all levels (network, application), integration and correlation with service provider -level monitoring mechanisms. Failure to do so may leave advanced or sustained threats undetected, as well as technical failures or malfunctions of local resources."
FGT5021,Tunnel ID uniqueness failure,Control or misconfiguration of gNB or UPF,"Faulty implementation at gNB or UPF ; or, control over gNB, and UPF"
T1599,Network Boundary Bridging,Privileged access,Privileged access to device implementing the network separation controls
T1040.501,Radio Interface,Permissive subscriber security profile in the UE OR system employs null encryption.,Subscriber security profile in the UE must allow bidding down to less secure service OR system must employ null encryption.
T1040.501,Radio Interface,Successful “Bid down UE” attack,See [FGT1562.501](/techniques/FGT1562.501).
FGT5006,DNS Manipulation,Unauthenticated DNS Services,The end user does not have the capability to validate whether it is communicating with a malicious DNS or a valid one.
FGT5006,DNS Manipulation,Unmonitored DNS Traffic,DNS traffic must be permitted to move through the network without verification that it is routed to valid DNS Servers and without checking to ensure that the contents of the packets are actually DNS requests.
FGT5011,Unauthorized access to NEF via token fraud,MNO service access,Access to some MNO services to gain knowledge about tokens to access the NEF
T1587.004,_Develop_Capabilities_Exploits,Compromise of base station,Adversary may need to compromise a base station to exploit the UE
T1587.004,_Develop_Capabilities_Exploits,False base station,Adversary may need to deploye and get UE to connect to adversary controlled base station.
FGT5003,Network Function Service Discovery,Access to NRF,NRF is by design open to connections from other network functions. Control of another NF in the operator domain may be required.
FGT5003,Network Function Service Discovery,Access to SCP,SCP is compromised to hijack tokens.
T1499.002,Base station flood with fictitious access requests,Transmit to gNB with sufficient power to succeed in flooding.,Adversary must be able to transmit to gNB with sufficient power to be received.
FGT5018,Vandalism of network infrastructure,Improper physical security of 5G core component infrastructure,"Improper physical security of Data Centers / Telecommunication equipment room. 

Improper isolation of physical security perimeter between tenants.

Improper environmental protection controls.

Inadequate / defective security devices."
FGT5018,Vandalism of network infrastructure,gNB component infrastructure,"Improper physical security of telecommunications equipment rooms and equipment sited in partners’ or users’ premises.

Improper physical security of physically isolated operation areas.

Inadequate / defective security devices."
FGT5018,Vandalism of network infrastructure,NFVI,"Improper physical security of telecommunications equipment rooms.

Improper physical security of physically isolated operations areas.

Inadequate / defective security devices."
FGT5018,Vandalism of network infrastructure,SDN,"Unprotected data center interconnection channels.

Improper physical security perimeter or isolation between tenants."
FGT5018,Vandalism of network infrastructure,MEC host,"Improper physical and environmental security of edge computing facilities

Improper security monitoring of edge computing facilities

Insecure service environment."
T1499.502,Trigger Fraud Alert to Deny Service,A valid SUPI or SUCI must be intercepted by attacker.,There are several methods to achieve this by capturing over the air messages using a wireless sniffer.
T1600.502,Network interfaces,"Rogue or misconfigured AMF/MME, SMF, gNB or UPF, or SEPP or any other core NF",Adversary must have access to the network components to cause the attacks
FGT5005,Memory Scrapping,Credential and access to SDN controller and network elements,Privileged access to SDN controller and network elements to transfer and install malware to the target host.
T1190,Exploit Public-Facing Network Function,API vulnerability,"Adversary may need to identify vulnerabilities in the API to obtain initial-access, unauthorized information, or perform a denial of service"
T1190,Exploit Public-Facing Network Function,API credentials,Adversary may need to obtain credentials to collect unauthorized information
T1562.501,Bid down UE,False base station with strong signal and UE system,"Adversary has procured a UE and gNB under its control, and the victim UE is nearby"
FGT5002,Bypass home routing,Compromised SMS Center or STP,Access to a host that could pass as belonging to a different operator (roaming partner)
FGT5002,Bypass home routing,Get target user’s phone number,Access to the MSISDN of the user device
T1557.501,Radio Interface,Permissive subscriber security profile OR system employs null integrity or encryption.,Subscriber security profile must allow bidding down to less secure service OR system must employ null integrity or encryption.
T1592.501,Internal resource search,"Access to GSMA account; in some cases, none.",Adversary needs to access the operator databases or GSMA repositories
FGT5012.002,Self Location Measurement,Permissive subscriber security profile OR system does not employ over-the-air encryption.,Subscriber security profile must allow bidding down to less secure format OR system does not employ over-the-air encryption.
FGT5028,Discover network slice identifier,Compromise of core consumer NF,"For NF discovery service, clause 5.2.7.1 of [3] lists the following service consumers: AMF, SMF, PCF, NEF, NSSF, SMSF, AUSF, CHF, NRF, NWDAF, I-CSCF, SCSCF, IMS-AS, SCP, UDM, AF, DCCF, MBSF, 5G DDNMF, TSCTSF."
FGT5027,Spoof network slice identifier,Slice identifier was discovered,See [FGT5028](/techniques/FGT5028)
FGT5027,Spoof network slice identifier,Two slices share one common NF,This is common in practice
FGT5027,Spoof network slice identifier,NRF does not check requester slice identifier and the target (consumer) slice identifier.,This is implicit in the standards that do not mandate this check.
