FGSID,Software Name,Software Description,Procedure ,Proposed TTPs 
FGS5011,SnappyBee,Deploys stealers for harvesting credentials and browser data.,Salt Typhoon utilized SnappyBee to steal session tokens.,&T1528 Steal Application Access Token
FGS5012,GTPDOOR,"The malware can hide C2 traffic over GPRS Tunnelling Protocol, Control Plane or GTP-C signaling messages.","The malware leverages the GTP protocol to encapsulate TinyShell traffic within a valid PDP context session. The threat actors, known as LightBasin, have utilized GTPdoor for command-and-control (C2) capabilities, enabling them to blend seamlessly into mobile network protocols.",T1071.501 Telecom Protocol
FGS5013,SLAPSTICK ,"SLAPSTICK is a Solaris PAM backdoor that bypasses authentication with a hard-coded password, captures credentials during login attempts, and stores them in an obfuscated text file to maintain access and evade detection.", LightBasin deployed SLAPSTICK to establish a backdoor and persistent access to Solaris systems by automatically siphoning credentials to an obfuscated text file.,"T1105 Ingress Tool Transfer

T1556.003 Modify Authentication Process: Pluggable Authentication Modules

T1056 Input Capture

T1119 Automated Collection

T1027 Obfuscated Files or Information

T1021 Remote Services"
FGS5014,CordScan,CordScan is a network-scanning and packet-capture utility containing logic to fingerprint and retrieve data relating to common telecommunication systems from infrastructure such as SGSNs.,"Liminal Panda utilized CordScan for network mapping and packet-data collection related to common telecommunication systems (e.g., SGSN). This process included analyzing data transmitted to and from mobile stations and identifying the location information of registered GPRS users.","T1040 Network Sniffing

T1046 Network Service Discovery"
S0020,China Chopper,"China Chopper is a Web Shell hosted on Web servers to provide access back into an enterprise network that does not rely on an infected system calling back to a remote command and control server. It has been used by several threat groups.
","It has been used by Chinese threat actor, Stone Panda, to open a command terminal and execute certain actions.",T1059 Command and Scripting Interpreter
S0154,Cobalt Strike,"Cobalt Strike is a commercial, full-featured, remote access tool designed to execute various targeted attacks and emulate the post-exploitation actions of advanced threat actors. Cobalt Strike’s interactive post-exploit capabilities cover the full range of ATT&CK tactics, all executed within a single, integrated system.

In addition to its own capabilities, Cobalt Strike leverages the capabilities of other well-known tools such as Metasploit and Mimikatz.
","Salt Typhoon used Cobal Strike to deploy malicious payloads with custom backdoors.
",FGT1021 Remote Services
S1161,BPFDOOR,"BPFDoor is a Linux based passive long-term backdoor used by China-based threat actors. First seen in 2021, BPFDoor is named after its usage of Berkley Packet Filter (BPF) to execute single task instructions. BPFDoor supports multiple protocols for communicating with a C2 including TCP, UDP, and ICMP and can start local or reverse shells that bypass firewalls using iptables.","BPFDoor installs on a Linux host and attaches a BPF filter to passively scan network traffic. When it detects a crafted packet with a correct trigger, it opens a reverse shell or executes commands without exposing ports. It deletes itself after execution and remains in memory to maintain stealth and persistence.",FGT1195.501
S0600,Doki,Doki is a backdoor that uses a unique Dogecoin-based Domain Generation Algorithm and was first observed in July 2020. Doki was used in conjunction with the ngrok Mining Botnet in a campaign that targeted Docker servers in cloud platforms.,,
S0683,"	Peirates",Peirates is a post-exploitation Kubernetes exploitation framework with a focus on gathering service account tokens for lateral movement and privilege escalation. The tool is written in GoLang and publicly available on GitHub.,,
S0601,Hildegard,Hildegard is malware that targets misconfigured kubelets for initial access and runs cryptocurrency miner operations. The malware was first observed in January 2021. The TeamTNT activity group is believed to be behind Hildegard.,,
S0623,Siloscape,Siloscape is malware that targets Kubernetes clusters through Windows containers. Siloscape was first observed in March 2021.,,
S0041,Wiper,Wiper is a family of destructive malware used in March 2013 during breaches of South Korean banks and media companies.,,FGT1072
S0677,AADInternals,"AADInternals is a PowerShell-based framework for administering, enumerating, and exploiting Azure Active Directory.",,
